ncessch,ncesag,county,zip,locale,title1_status,total_n,fr_lnch_n,red_lnch_n,pupil_tch_ratio,ipr_est,leaid,st_schid,lea_name,lea_cwiftest,sch_name,p_american_indian_alaska_native,p_asian,p_native_hawaiian_pacific_islander,p_black_african_american,p_hispanic_latino,p_white,p_multiracial,fr_lnch_prop,red_lnch_prop,enrl_grd,percent_level_4,percent_level_3,percent_level_2,percent_level_1,sch_percent_level_4,sch_percent_level_3,sch_percent_level_2,sch_percent_level_1,under_25,under_50,under_75,under_100,under_200,over_200,percent_less_than_9th_grade,percent_high_school_graduate_or_higher,percent_bachelors_degree_or_higher,percent_associates_degree,percent_graduate_or_professional_degree,percent_bachelors_degree,percent_high_school_graduate,percent_9th_to_12th_grade_no_diploma,percent_some_college,median_income,median_rent
410852000858,4108520,Morrow County,97844,32-Town: Distant,5-Eligible for Title I SWP provides SWP program,255,148,47,15.94,224,4108520,813,Morrow School District,0.81,A C Houghton Elementary School,0.0082,0,0,0,0.46721,0.4877,0.03689,0.5803921568627451,0.1843137254901961,3,14.5,26.5,31.3,27.7,14.5,26.5,31.3,27.7,0.2712765957446808,0.2127659574468085,0.16489361702127658,0.14361702127659576,0.1702127659574468,0.03723404255319149,10.9,73.7,8.1,5,3.1,6.1,33.2,14.8,26.4,27056,739
411004000865,4110040,Multnomah County,97214,11-City: Large,6-Not eligible for either TAS or SWP,520,40,9,22.6,684,4110040,822,Portland School District,0.999,Abernethy Elementary School,0,0.02367,0.00197,0.00986,0.05523,0.82446,0.08481,0.07692307692307693,0.01730769230769231,3,50.6,24.1,17.7,7.6,53.3,28.3,11.9,6.6,0.18305531167690958,0.23661106233538193,0.14969271290605796,0.09920983318700614,0.20456540825285338,0.12686567164179105,0.8,98.2,64.6,5.2,24.5,37.2,10.1,2,18.3,30168,1094
411004000865,4110040,Multnomah County,97214,11-City: Large,6-Not eligible for either TAS or SWP,520,40,9,22.6,684,4110040,822,Portland School District,0.999,Abernethy Elementary School,0,0.02367,0.00197,0.00986,0.05523,0.82446,0.08481,0.07692307692307693,0.01730769230769231,4,58.9,23.3,10,7.8,53.3,28.3,11.9,6.6,0.18305531167690958,0.23661106233538193,0.14969271290605796,0.09920983318700614,0.20456540825285338,0.12686567164179105,0.8,98.2,64.6,5.2,24.5,37.2,10.1,2,18.3,30168,1094
411004000865,4110040,Multnomah County,97214,11-City: Large,6-Not eligible for either TAS or SWP,520,40,9,22.6,684,4110040,822,Portland School District,0.999,Abernethy Elementary School,0,0.02367,0.00197,0.00986,0.05523,0.82446,0.08481,0.07692307692307693,0.01730769230769231,5,49.3,38.7,8,4,53.3,28.3,11.9,6.6,0.18305531167690958,0.23661106233538193,0.14969271290605796,0.09920983318700614,0.20456540825285338,0.12686567164179105,0.8,98.2,64.6,5.2,24.5,37.2,10.1,2,18.3,30168,1094
410804000963,4108040,Jackson County,97504,13-City: Small,6-Not eligible for either TAS or SWP,549,164,38,21.03,267,4108040,1350,Medford School District,0.886,Abraham Lincoln Elementary,0.0038,0.00949,0,0.0019,0.14231,0.79127,0.05123,0.2987249544626594,0.0692167577413479,3,22.3,29.8,26.6,21.3,30.5,27.9,23.3,18.4,0.25193798449612403,0.18313953488372092,0.1371124031007752,0.10852713178294573,0.21705426356589147,0.10222868217054264,2.7,92.6,31.4,9,10.1,18.4,25.3,6,28.6,25072,931
410804000963,4108040,Jackson County,97504,13-City: Small,6-Not eligible for either TAS or SWP,549,164,38,21.03,267,4108040,1350,Medford School District,0.886,Abraham Lincoln Elementary,0.0038,0.00949,0,0.0019,0.14231,0.79127,0.05123,0.2987249544626594,0.0692167577413479,4,41.9,14.9,16.2,27,30.5,27.9,23.3,18.4,0.25193798449612403,0.18313953488372092,0.1371124031007752,0.10852713178294573,0.21705426356589147,0.10222868217054264,2.7,92.6,31.4,9,10.1,18.4,25.3,6,28.6,25072,931
410804000963,4108040,Jackson County,97504,13-City: Small,6-Not eligible for either TAS or SWP,549,164,38,21.03,267,4108040,1350,Medford School District,0.886,Abraham Lincoln Elementary,0.0038,0.00949,0,0.0019,0.14231,0.79127,0.05123,0.2987249544626594,0.0692167577413479,5,32.9,32.9,21.5,12.7,30.5,27.9,23.3,18.4,0.25193798449612403,0.18313953488372092,0.1371124031007752,0.10852713178294573,0.21705426356589147,0.10222868217054264,2.7,92.6,31.4,9,10.1,18.4,25.3,6,28.6,25072,931
410804000963,4108040,Jackson County,97504,13-City: Small,6-Not eligible for either TAS or SWP,549,164,38,21.03,267,4108040,1350,Medford School District,0.886,Abraham Lincoln Elementary,0.0038,0.00949,0,0.0019,0.14231,0.79127,0.05123,0.2987249544626594,0.0692167577413479,6,25.9,34.5,29.3,10.3,30.5,27.9,23.3,18.4,0.25193798449612403,0.18313953488372092,0.1371124031007752,0.10852713178294573,0.21705426356589147,0.10222868217054264,2.7,92.6,31.4,9,10.1,18.4,25.3,6,28.6,25072,931
411158001727,4111580,Lane County,97424,32-Town: Distant,6-Not eligible for either TAS or SWP,204,NA,NA,41.72,215,4111580,4555,South Lane School District,0.879,Academy for Character Education,0,0.01047,0,0.00524,0.06283,0.86911,0.05236,NA,NA,3,23.1,46.2,23.1,7.7,14.5,51.6,22.6,11.3,0.26538716082064856,0.2501654533421575,0.18795499669093316,0.13898080741230973,0.13633355393778954,0.021178027796161483,3.5,88.7,18.7,9.2,6.9,9.1,32.9,9,31.8,23662,921
411158001727,4111580,Lane County,97424,32-Town: Distant,6-Not eligible for either TAS or SWP,204,NA,NA,41.72,215,4111580,4555,South Lane School District,0.879,Academy for Character Education,0,0.01047,0,0.00524,0.06283,0.86911,0.05236,NA,NA,4,20,40,10,30,14.5,51.6,22.6,11.3,0.26538716082064856,0.2501654533421575,0.18795499669093316,0.13898080741230973,0.13633355393778954,0.021178027796161483,3.5,88.7,18.7,9.2,6.9,9.1,32.9,9,31.8,23662,921
